Number,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,LF,GWP
16,C(=C/Cl)\C(F)(F)F,0.380799562,-0.054501372,0.25117,130.496,2.3012,21.048,7,43.57940466,3.559682478,72.73943006,-0.935542011,0.588831726
17,C(=C/Cl)\F,0.357129643,-0.097376176,0.25675,80.489,1.6659,16.101,4,28.88339174,2.549193338,21.21928095,-2.301029996,-2.397940009
18,C(=C/F)\C(C(F)(F)F)(C(F)(F)F)F,0.381240875,-0.072472079,0.26959,214.055,3.3025,26.197,13,66.83369968,5.211085631,181.5603758,-0.476253533,0.914871818
19,C(=C/F)\C(F)(F)F,0.395292688,-0.080720398,0.27302,114.041,2.0319,16.303,7,37.44167384,3.559682478,69.49431756,-1.283996656,0.136720567
20,C(=C\C(F)(F)F)\C(F)(F)F,0.418603578,-0.033431564,0.26327,164.048,2.6672,21.25,10,52.13768676,4.01455866,109.6636925,-1.13076828,0.318063335
21,C(=C\F)\C(F)(F)F,0.394313412,-0.075322411,0.26707,114.041,2.0319,16.303,7,37.44167384,3.559682478,69.49431756,-1.568636236,-0.501689446
22,C(=CC(F)(F)F)C(F)(F)F,0.420768808,-0.03959119,0.27159,164.048,2.6672,21.25,10,52.13768676,4.01455866,109.6636925,-0.476253533,1.252853031
23,C(=CCl)C(F)(F)F,0.380799567,-0.054501368,0.25117,130.496,2.3012,21.048,7,43.57940466,3.559682478,72.73943006,-1.443697499,-0.342944147
24,C(=O)(C(C(F)(F)F)(C(F)(F)F)F)C(C(F)(F)F)(F)F,0.40479327,0.01439948,0.21221,316.041,3.586,31.958,19,94.71190853,6.059229778,341.8865728,-1.721246399,-0.943095149
25,C(Br)(Br)Br,0.3652842,-0.00429108,0.20765,252.731,2.4547,30.569,4,50.34189384,2.323790008,8,-0.806875402,-0.602059991
26,C(Br)Br,0.37603692,-0.04564583,0.24224,173.835,1.7337,22.721,3,36.47434624,1.632993162,2.754887502,-0.386158178,0.178976947
27,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.42710509,-0.08330107,0.3597,338.038,4.6522,31.898,20,98.88145724,6.082753304,318.8408681,3.491361694,3.935507266
28,C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.42810556,-0.11445633,0.37523,220.034,3.0844,21.953,13,65.323896,5.039847129,176.5439481,1.505149978,3.460897843
29,C(C(C(C(F)(F)F)(F)F)(F)F)O,0.394277715,-0.118131188,0.33801,200.053,1.8116,23.0348,12,61.78705894,4.847021821,159.2795361,-0.259637311,1.562292864
30,C(C(C(C(F)(F)F)F)(F)F)O,0.397771334,-0.126354823,0.3478,182.063,1.5144,22.9838,11,57.62152354,4.352448404,129.0341978,-0.435333936,1.484299839
31,C(C(C(F)(F)Cl)(F)F)(F)Cl,0.41301378,-0.06068886,0.31399,202.937,2.9877,26.496,10,62.90334473,4.403817967,116.5516958,0.770852012,2.754348336
32,C(C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,0.43155834,-0.10653184,0.36586,288.031,4.0169,26.951,17,84.18544432,5.733228776,250.2515635,3.612783857,3.964730921
33,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,0.45274427,-0.11874679,0.39637,238.024,3.3816,22.004,14,69.4894314,5.300082078,181.142338,3.414973348,4
34,C(C(C(F)(F)F)(F)F)(Cl)Cl,0.41355199,-0.0511963,0.29259,202.937,2.9877,26.496,10,62.90334473,4.403817967,116.5516958,0.278753601,2.136720567
35,C(C(C(F)(F)F)(F)F)(F)F,0.444128271,-0.146483982,0.40148,170.027,2.4491,17.006,10,50.62788308,4.403817967,110.5098519,1.477121255,3.474216264
